hyperparameters,F1_Deceased,Recall_Deceased,Overall_Accuracy,Overall_Recall
"[5, 5, 1]",0.13669079661391234,0.08691088864170064,0.8545369467547917,0.8545369467547917
"[5, 5, 2]",0.13604178760092042,0.08668940798417996,0.8542785318417966,0.8542785318417966
"[5, 10, 1]",0.09931274140476658,0.05712791991101224,0.857469267785586,0.857469267785586
"[5, 10, 2]",0.10440155212781292,0.060016808799901136,0.8574012635943534,0.8574012635943534
"[5, 15, 1]",0.0813079071284186,0.04401038190582128,0.8565879492230405,0.8565879492230405
"[5, 15, 2]",0.08335872207335163,0.04534396242738845,0.8561010419322763,0.8561010419322763
"[10, 5, 1]",0.13563762085048453,0.08579928315412186,0.8542295629846706,0.8542295629846706
"[10, 5, 2]",0.13617029865304747,0.08646743295019156,0.8539901894731152,0.8539901894731152
"[10, 10, 1]",0.09813794868832852,0.05623804226918798,0.8571945344090557,0.8571945344090557
"[10, 10, 2]",0.102282522545701,0.05868298109010012,0.8570830069405394,0.8570830069405394
"[10, 15, 1]",0.08130264912778247,0.04401062909405513,0.8559867901570055,0.8559867901570055
"[10, 15, 2]",0.0833902833290796,0.04534371523915462,0.855508042652948,0.855508042652948
"[15, 5, 1]",0.13563762085048453,0.08579928315412186,0.8542295629846706,0.8542295629846706
"[15, 5, 2]",0.13617029865304747,0.08646743295019156,0.8539901894731152,0.8539901894731152
"[15, 10, 1]",0.09813794868832852,0.05623804226918798,0.8571945344090557,0.8571945344090557
"[15, 10, 2]",0.102282522545701,0.05868298109010012,0.8570830069405394,0.8570830069405394
"[15, 15, 1]",0.08130264912778247,0.04401062909405513,0.8559867901570055,0.8559867901570055
"[15, 15, 2]",0.0833902833290796,0.04534371523915462,0.855508042652948,0.855508042652948
