hyperparameters,F1_Deceased,Recall_Deceased,Overall_Accuracy,Overall_Recall
"[10, 10, 250]",0.03056,0.01556,0.824477,0.82448
"[10, 10, 500]",0.030135,0.015339,0.824161,0.824161
"[10, 10, 1000]",0.030558,0.015561,0.823397,0.823397
"[10, 25, 250]",0.000444,0.000222,0.822665,0.822665
"[10, 25, 500]",0,0,0.823032,0.823032
"[10, 25, 1000]",0.000444,0.000222,0.823163,0.823163
"[10, 50, 250]",0,0,0.822757,0.822757
"[10, 50, 500]",0,0,0.822156,0.822156
"[10, 50, 1000]",0,0,0.822295,0.822295
"[20, 10, 250]",0.069876,0.036676,0.860491,0.860491
"[20, 10, 500]",0.07108,0.037343,0.860124,0.860124
"[20, 10, 1000]",0.069881,0.036676,0.860369,0.860369
"[20, 25, 250]",0.024797,0.012669,0.855277,0.855277
"[20, 25, 500]",0.02135,0.01089,0.855288,0.855288
"[20, 25, 1000]",0.023942,0.012223,0.855255,0.855255
"[20, 50, 250]",0.001766,0.00089,0.850043,0.850043
"[20, 50, 500]",0.002648,0.001334,0.849888,0.849888
"[20, 50, 1000]",0.002205,0.001112,0.850138,0.850138
"[30, 10, 250]",0.070241,0.036899,0.86465,0.86465
"[30, 10, 500]",0.068634,0.036009,0.864419,0.864419
"[30, 10, 1000]",0.069082,0.036231,0.86449,0.86449
"[30, 25, 250]",0.025695,0.013114,0.858873,0.858873
"[30, 25, 500]",0.02265,0.011557,0.858702,0.858702
"[30, 25, 1000]",0.020935,0.010668,0.858835,0.858835
"[30, 50, 250]",0.000884,0.000445,0.852249,0.852249
"[30, 50, 500]",0.0022,0.001112,0.852187,0.852187
"[30, 50, 1000]",0.002644,0.001335,0.852249,0.852249
