hyperparameters,F1_Deceased,Recall_Deceased,Overall_Accuracy,Overall_Recall
"[0.1, 8, 3]",0.09293497,0.04998694,0.8493878,0.8493878
"[0.1, 8, 5]",0.08858992,0.04752108,0.84913602,0.84913602
"[0.1, 8, 7]",0.08724346,0.04662522,0.84825206,0.84825206
"[0.1, 12, 3]",0.10608173,0.0582814,0.86035106,0.86035106
"[0.1, 12, 5]",0.10006829,0.05447125,0.8601677,0.8601677
"[0.1, 12, 7]",0.09683165,0.05245432,0.85798655,0.85798655
"[0.1, 15, 3]",0.11465485,0.06410999,0.86466138,0.86466138
"[0.1, 15, 5]",0.10794863,0.05962745,0.86349555,0.86349555
"[0.1, 15, 7]",0.09972697,0.05469496,0.86290168,0.86290168
"[0.2, 8, 3]",0.09649255,0.05222859,0.86001445,0.86001445
"[0.2, 8, 5]",0.09361542,0.05043588,0.8592728,0.8592728
"[0.2, 8, 7]",0.0906045 ,0.04864241,0.85886503,0.85886503
"[0.2, 12, 3]",0.1070051,0.05940323,0.86670297,0.86670297
"[0.2, 12, 5]",0.10878082,0.05985091,0.8654605,0.8654605
"[0.2, 12, 7]",0.1003913,0.05491893,0.86444519,0.86444519
"[0.2, 15, 3]",0.11473766,0.06455868,0.86784418,0.86784418
"[0.2, 15, 5]",0.11256699,0.06276571,0.86674402,0.86674402
"[0.2, 15, 7]",0.10698543,0.05917851,0.8655125,0.8655125
"[0.3, 8, 3]",0.10164962,0.05559207,0.86287979,0.86287979
"[0.3, 8, 5]",0.09931862,0.05402282,0.86250486,0.86250486
"[0.3, 8, 7]",0.09568521,0.05200413,0.8619192,0.8619192
"[0.3, 12, 3]",0.11455732,0.06455968,0.86785513,0.86785513
"[0.3, 12, 5]",0.11017735,0.06119746,0.86715179,0.86715179
"[0.3, 12, 7]",0.10426616,0.05738655,0.86648677,0.86648677
"[0.3, 15, 3]",0.12468509,0.07128413,0.86828753,0.86828753
"[0.3, 15, 5]",0.11742004,0.06612793,0.86749388,0.86749388
"[0.3, 15, 7]",0.10913733,0.06097173,0.86705601,0.86705601
